,incident_id,date,city,county,state,num_offenders,num_victims_killed,num_victims_injured,firstcod,secondcod,ak_47_pattern,ar_15_pattern,type,situation_type,location_type,location,gis_code,longitude,latitude,narrative
121,450,2020-12-25,Atkins,Fulton County,AR,1,4,0,Shooting,,False,False,Family,Family issue,Residence/Other shelter,Residence,5049550202.0,-92.08973,36.31588,"Five females were found dead in an apparent murder-suicide. The relationship of the victims was not disclosed, although authorities described the killings as ""domestic related."" There has also been no report of which was the offender. "
122,449,2020-12-22,Meridian,Lauderdale County,MS,1,4,0,Shooting,,False,False,Family,Family issue,Residence/Other shelter,Residence,28075010501.0,-88.66053,32.29563,"Conducting a welfare check, Lauderdale County deputies found three bodies at a residence and another at a nearby location. The assailant Matthew Tucker killed himself during pursuit by law enforcement. "
123,448,2020-12-13,Elkview,Kanawha County,WV,2,4,0,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,54039011302.0,-81.4833,38.43356,"Two teenagers, Gavin Smith and Rebecca Walker, reportedly shot four victims to death in their home. The victims were the boy’s family. Smith was convicted and is awaiting sentencing, while Walker pleaded guilty and received a 10-year prison sentence."
124,461,2020-12-08,Williamsburg,Greenbrier County,WV,1,5,0,Shooting,Smoke inhalation & burns,False,False,Family,Despondency,Residence/Other shelter,Residence,54025950200.0,-80.507432,37.9946,"Oreanna Myers shot her five children, set the house on fire, and went outside and killed herself. The investigation subsequently concluded that it was murder-suicide. "
125,447,2020-11-30,Palmer,Matanuska-Susitna Borough,AK,1,4,0,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,2170001201.0,-149.108573,61.609945,"Malachi Maxon, 18, just out of jail for assault, allegedly killed four members of his family. The shootings occurred at two locations about a 30-minute drive apart. A 6-year-old was apparently spared during the early morning shooting spree north of Anchorage because of defective bullets. Maxon was charged and is awaiting trial."
126,446,2020-09-07,Aguanga,Riverside County,CA,1,7,0,Shooting,,False,False,Felony,Drug trade,Residence/Other shelter,Residence,6065044406.0,-116.859664,33.456596,"Seven people were fatally shot at a residence authorities believe was being used ""to manufacture and harvest an illicit marijuana operation."" Six of the victims were killed at the scene and a seventh was hospitalized and died later the same day. Sheriff Chad Bianco said that the illegal marijuana growing and processing operation was run by a local Laotian organized crime syndicate believed to be based in the U.S.The case is unsolved."
127,444,2020-08-15,Belleville,Wayne County,MI,1,4,0,Shooting,,False,False,Family,Family issue,Residence/Other shelter,Residence,26163589300.0,-83.447591,42.139732,"Four cousins were shot to death allegedly by Raymond Bailey, the former fiancé of one of the victims who had previously been accused of domestic violence. Bailey was arrested, but died prior to trial from injuries he received while fleeing the police."
129,442,2020-07-28,Elyira,Lorain County,OH,1,4,0,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,39093070400.0,-82.114119,41.383813," Officers were called to 537 Willow Park Road just after 8:00 a.m. on July 29, 2020 for a welfare check. When they arrived, they found five people dead inside the house. All five sustained what appeared to be gunshot wounds.  In what appeared to be a murder-suicide, 44-year-old John Nelson fatally shot his wife and three children before turning the gun on himself. It is believed that the deaths occurred on July 28."
130,441,2020-07-19,Detroit,Wayne County,MI,1,4,0,Shooting,,False,False,Public,Interpersonal conflict,Commercial/Retail/Entertainment,Bar/Club/Restaurant,26163533400.0,-83.117442,42.36987,"According to authorities, 25-year-old Mickey Dane Douglas, while out on parole for robbery conviction, claimed someone made a comment about his gym shoes that made him feel threatened. He then shot four people, three of whom died at the scene and a fourth who died days later from his injuries. Douglas was charged and is awaiting trial."
131,440,2020-07-07,Paterson,Passaic County,NJ,1,4,3,Shooting,,False,False,Felony,Gang conflict,Open space,Open space,34031181500.0,-74.161549,40.922856,"Seven people were shot, four of them fatally, in a hail of gunfire in Paterson, NJ after 11 pm in what has been called a gang-related incident. The case is unsolved."
132,439,2020-07-04,Chicago,Cook County,IL,1,4,4,Shooting,,False,False,Unsolved,Undetermined,Open space,Open space,17031839100.0,-87.632398,41.883229,"Four people were killed and four wounded in a shooting in Englewood on the South Side. They were at a large gathering in the street about 11:35 p.m. in the 6100 block of South Carpenter Street when four males walked up and started shooting, according to Chicago police. This case is unsolved."
133,438,2020-06-22,Charlotte,Mecklenburg County,NC,2,4,5,Shooting,Vehicle crash,False,False,Public,Undetermined,Open space,Open space,37119004800.0,-80.855184,35.260115,"A crowd initially gathered on the street for an unrelated Juneteenth celebration. Crowds gathered again nightly through Sunday, and police said there were about 400 people on the scene when shots rang out at about 12:30 am early in the morning. Three victims were initially reported dead and a fourth died a day later at the hospital. A total of 181 shell casings were found at the scene. The case remains unsolved."
134,451,2020-06-11,Monroe,Ouachita Parish,LA,1,5,0,Shooting,,False,False,Family,Despondency,Residence/Other shelter,Residence,22073011000.0,-92.091199,32.437583,Brittany Tucker fatally shot her neighbor and then went back to her apartment and shot and killed four of her children. She then committed suicide. 
135,436,2020-06-04,Valhermoso Springs,Morgan County,AL,2,7,0,Shooting,Smoke inhalation & burns,False,False,Felony,Drug trade,Residence/Other shelter,Residence,1103005704.0,-86.676308,34.523109,"Deputies responding to a call about a shooting found seven people dead inside a home that had been set afire. Investigators believe the victims, three women and four men, were shot. The victims and offenders were part of a motorcycle club called ""Seven Deadly Sins."" It is believed the shooting involved a dispute among members of this motorcycle club. It is reported that the two suspects--John Legg and Frederic Rogers--went to the house to ""wipe the slate clean"" because several personal firearms were missing and there had been ""perceived disobedience"" toward a local membership club. Neighbors said the house was known for heavy drug activity. Two of the victims were reportedly killed only because the shooters didn’t want to leave behind any witnesses. The other victims were killed because of their association with the Seven Deadly Sins club or its members, according to investigators. Legg and Rogers were both charged and are awaiting trial."
137,434,2020-04-27,Milwaukee,Milwaukee County,WI,1,5,0,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,55079008400.0,-87.926763,43.071165,"The police received a 911 call from the person believed to be the assailant. Upon arriving at the home, officers found five victims fatally shot. In addition, a young child was found alive in the house, and investigators believe the shooter decided to spare the infant's life. Christopher Stokes, the suspected shooter who had a criminal record, was arrested. Stokes pleaded guilty and was sentenced to prison for 205 years."
139,432,2020-03-15,Springfield,Greene County,MO,1,4,2,Shooting,,False,False,Public,Indiscriminate,Commercial/Retail/Entertainment,Commercial/Retail,29077003900.0,-93.22891,37.15808,"Police received reports of a gunman randomly firing a gun from a car at several locations in Springfield, Missouri. The vehicle crashed into the Kum &amp; Go gas station and convenience store. The gunman, Joaquin Roman, then ran inside and began shooting once again. The first two officers who arrived were shot. The fatalities included three customers, one police officer, and the assailant who had taken his own life. Roman’s mother claimed that her son was mentally ill. According to one of the surviving victims, Roman gave a half-gibberish speech about being disrespected throughout his life and wanting to inflict pain on others. There was evidence that he had searched online for ""mental illness"" and ""tactical shooting"" a few days before the attack."
140,433,2020-03-15,Moncure,Chatham County,NC,1,6,0,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,37037020702.0,-79.016752,35.58835,Seven family members found dead in an apparent murder-suicide with Larry Ray believed to be the shooter. The shootings took place in neighboring homes. 
142,431,2020-02-26,Milwaukee,Milwaukee County,WI,1,5,0,Shooting,,False,False,Public,Employment grievance,Commercial/Retail/Entertainment,Commercial/Retail,55079012300.0,-87.960989,43.044497,"Following a long-standing dispute with a co-worker, Anthony Ferrill shot and killed 5 fellow employees at the Milwaukee facility of the Molson Coors Beverage Company before turning the gun on himself. Reportedly, he felt that he was being harassed by others on the job. "
143,430,2020-02-05,Indianapolis,Marion County,IN,4,4,0,Shooting,,False,False,Felony,Robbery,Residence/Other shelter,Residence,18097330211.0,-85.987487,39.832231,"The Indianapolis Police were called to an apartment in the 4100 block of Shady Oak Drive just before 10:30 p.m. after a neighbor noticed a back patio door was shattered and saw someone fleeing from the residence. Officers found four victims—three men and a woman—dead inside the apartment. Cameron Banks, Lesean Watkins, Rodreice Anderson, and Desmond Banks were arrested for murder. Anderson pleaded guilty to a reduced charge of robbery in exchange for testifying against his accomplices. The other three were tried and convicted of murder. According to authorities, the murders were connected to robbery. "
144,429,2020-01-24,Vanceboro,Craven County,NC,1,4,0,Shooting,,False,False,Family,Despondency,Residence/Other shelter,Residence,37049960201.0,-77.110163,35.233578,"Police went to check on a family after getting a call from a relative concerned after being unable to reach their loved ones for days. In the living room of the home, deputies found the bodies of four victims, all with fatal gunshot wounds. In the master bedroom deputies found the family's dog shot dead next to Michael Ray Ireland, 39, who they suspect had killed his wife and children before taking his own life. "
145,428,2020-01-17,Grantsville,Tooele County,UT,1,4,1,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,49045130706.0,-112.431084,40.597809,"According to his confession, 16-year-old Colin Haynie first shot and killed his mother and then fatally shot his three siblings as they returned home. Haynie pleaded guilty and was sentenced to 25 years to life for each murder count and for one count of attempted murder. The sentences are to be served consecutively. "
147,424,2019-12-10,Jersey City,Hudson County,NJ,2,4,3,Shooting,,False,True,Public,Hate,Multiple,Multiple,34017005500.0,-74.08353,40.707002,"Officials believe the shooting spree began when a detective approached David Anderson and Francine Graham at a cemetery in connection with a homicide investigation and was shot dead. The assailants then fled in a stolen rental truck and eventually ended up at a nearby kosher market, where they opened fire on police officers and civilians. Three of the civilians were killed. Anderson and Graham were both killed by the police. Subsequent reports suggest the incident may have been inspired by antisemitism."
148,421,2019-11-17,Fresno,Fresno County,CA,7,4,6,Shooting,,False,False,Felony,Gang conflict,Residence/Other shelter,Residence,6019003001.0,-119.718202,36.757462,"Four men were killed and six others were wounded in southeast Fresno when gunmen broke into a backyard party and opened fire on dozens of people watching football. On December 31, 2019, the police arrested seven suspected gang members who, according to the authorities, had mistakenly believed it was a rival gang’s party and attacked to avenge a murder from earlier that day. Pao Vang, Ger Lee, Jhovanny Delgado, Porge Kue, Anthony Montes, Billy Xiong, Johnny Xiong were charged and are awaiting trial."
149,422,2019-11-16,San Diego,San Diego County,CA,1,5,0,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,6073003211.0,-117.056973,32.678387,"Involved in a bitter divorce, Jose Valdivia allegedly shot his wife and four children before turning the gun on himself. All but one of the children died. About two weeks before the shooting rampage, the assailant reportedly sent his estranged wife a photo of a handgun with the message ""It’s sure happening."""
150,418,2019-10-31,Orinda,Contra Costa County,CA,1,5,9,Shooting,,False,False,Felony,Gang conflict,Residence/Other shelter,Residence,6013353001.0,-122.183249,37.873276,"Five people were killed and several more injured in a shooting during a packed Halloween party (with over 100 in attendance) at a rented Airbnb home in Orinda, CA. The sheriff said ""there were rival gangs involved in the altercation inside the home. There was also an attempt to steal property which may have precipitated the initial round of shooting. "" The case remains unsolved."
151,423,2019-10-30,Philadelphia,Philadelphia County,PA,1,4,0,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,42101008000.0,-75.224112,39.949324,"Maurice Lewis, 28, was arrested and faces murder charges after confessing to killing his mother, stepfather and two younger half-brothers inside their home."
152,415,2019-10-12,Chicago,Cook County,IL,1,5,0,Shooting,,False,False,Other,Despondency,Residence/Other shelter,Residence,17031843200.0,-87.65005,41.85003,"Krysztof Marek, a 66-year-old truck driver who had lived in the building for about 15 years, walked into a neighbor's apartment where, according to the police, he fatally shot three men and a woman as they ate dinner. He then went upstairs to the third floor, entered another apartment, and allegedly shot a woman there. That woman was taken to the hospital in critical condition where she died. The assailant was facing eviction for non-payment of condo fees as well as foreclosure on his mortgage. He had filed for bankruptcy in September 2017 in which he reported owing $24,000 to the Internal Revenue Service and more than $60,000 to creditors. The assailant left two notes written in Polish behind in his apartment reflecting his determination to carry out the murders. Marek was charged and is awaiting trial."
153,409,2019-10-07,Abington,Plymouth County,MA,1,4,0,Shooting,,False,False,Family,Despondency,Residence/Other shelter,Residence,25023520100.0,-70.938697,42.107018,"The bodies of a man, a woman and three children were found by a relative inside their townhouse. All five appeared to have been shot. It has been determined that the man, 43-year-old Joseph Zaccardi, killed his wife and children before killing himself. According to Joseph’s Facebook page, he was out of work, with his employment listed as ""Unemployed and Going Crazy."" Posts on his Facebook profile showed that he had written and illustrated four self-published children’s books, with the most recent, ""Day is Done No More Fun,"" published in June 2018. "
154,408,2019-10-06,Kansas City,Wyandotte County,KS,2,4,5,Shooting,,False,False,Suspected felony,Undetermined,Commercial/Retail/Entertainment,Bar/Club/Restaurant,20209042300.0,-94.635455,39.100811,"Nine people were shot, four fatally, at a private bar (the Tequila KC Bar)  in Kansas City. The incident appears to have been precipitated by the bartender's refusal to serve one of the two assailants. Police said that the shooting may have been motivated by an earlier dispute at the bar and that Hugo Villanueva-Morales and Javier Alatorre allegedly returned to carry out the shooting.  While authorities have not determined the motive, information is coming to light about the two suspects' ties to vast criminal networks. Both men were charged and are awaiting trial."
156,404,2019-09-29,Beaumont,Jefferson County,TX,1,4,0,Shooting,,False,False,Other,Interpersonal conflict,Residence/Other shelter,Residence,48245002600.0,-94.085453,30.04725," Lively James Stratton, 22, was arrested and charged with four counts of murder for the fatal shooting of his four roommates inside a duplex in the 4100 block of Highland Avenue. Initially, no motive has been identified other than reports that Stratton may have shot and killed the four men over an altercation that occurred earlier that day. Stratton was convicted and sentenced to life without parole."
157,406,2019-09-21,Cleveland,Cuyahoga County,OH,1,4,0,Shooting,,False,False,Felony,Drug trade,Residence/Other shelter,Residence,39035120802.0,-81.581342,41.461033,"Responding to complaints of an odor coming from an abandoned home, the police discovered the bodies of four gunshot victims. Because of the extent of decomposition, the date of death could not be determined. The location was known as a drug house."
158,405,2019-09-12,Albuquerque,Bernalillo County,NM,1,4,2,Shooting,,False,False,Unsolved,Undetermined,Residence/Other shelter,Residence,35001004401.0,-106.684278,35.06426,"Officers responded shortly after 9 p.m. to a call of shots fired at 1028 Lura Place SW. Three people were found dead, a fourth died at the hospital. Two others suffered injuries that were not life-threatening. The victims were all related. Although unsolved, initial interviews revealed that an unknown vehicle drove down Lura Place and fired multiple shots at one of the victims (Daniel Alexis Baca). That individual may have been the primary target in a shooting that also claimed his mother, grandmother, and cousin."
159,402,2019-09-02,Elkmont,Whitfield County,AL,1,5,0,Shooting,,False,False,Family,Despondency,Residence/Other shelter,Residence,13313001200.0,-84.900259,34.722337,"Mason Sisk, 14, called 911 about hearing gunshots. Deputies responding to the home in Elkmont, Ala. found one adult and two minors dead at the scene. Another adult and minor were hospitalized with critical injuries and later died. The teenager then reportedly admitted to killing five members of his family: his father, stepmother, and siblings. Sisk was convicted in a jury trial annd sentenced to life without parole eligibility.  "
160,401,2019-08-31,Odessa,Ector County,TX,1,7,22,Shooting,,False,False,Public,Indiscriminate,Open space,Open space,48135003004.0,-102.28783,31.923905,"After being stopped by Texas state troopers for making a left turn without signaling, Seth Ator shot at the officers and then drove toward Midland. He subsequently abandoned his car and hijacked a postal van. The gunman continued shooting indiscriminately as he went. He was eventually killed in a shootout with police at an Odessa theater parking lot. "
162,397,2019-08-04,Dayton,Montgomery County,OH,1,9,27,Shooting,,False,True,Public,Indiscriminate,Commercial/Retail/Entertainment,Bar/Club/Restaurant,39113001501.0,-84.18564,39.75712,"Dressed in body armor, Connor Betts allegedly opened fire in Dayton’s Oregon District amid a busy nightlife scene of bars and restaurants killing nine (including his sister) and injuring 27 others. With police already patrolling the area, the shooter was killed fairly quickly, preventing many more casualties. "
163,396,2019-08-03,El Paso,El Paso County,TX,1,23,23,Shooting,,False,False,Public,Hate,Commercial/Retail/Entertainment,Commercial/Retail,48141003403.0,-106.385933,31.77718,"In an apparently hate-inspired, anti-immigrant attack, Patrick Crusius traveled over 600 miles from suburban Dallas to an El Paso Walmart where he killed 23 people and wounded 23 others with a semiautomatic rifle. In February 2023, Crusius pleaded guilty and was sentenced to 90 consecutive life terms. "
164,394,2019-07-28,Lake Hallie & Lafayette,Dunn County,WI,1,4,2,Shooting,,False,False,Family,Other,Multiple,Multiple,55033970400.0,-91.69625,44.85974,"Policed responded to a 911 call in Lafayette, WI, finding two dead (including the suspected assailant Ritchie German, Jr.) and two others injured. The police subsequently went to the home of the suspected assailant, finding three dead victims (the suspected assailant’s mother, brother, and nephew)."
165,393,2019-07-25,San Fernando Valley,Los Angeles County,CA,1,4,2,Shooting,,False,False,Family,Interpersonal conflict,Multiple,Multiple,6037320300.0,-118.441742,34.282982,"According to the police, Gerry Dean Zaragoza, 26, went on a shooting rampage in the San Fernando Valley killing four (including his father and brother) and injuring two others (including his mother). The other two slain victims were a mother of four with whom Zaragoza had been obsessed for some time and a man who was shot on a bus. The shooting spree started in Canoga Park, then to North Hollywood, Sherman Oaks, and Van Nuys where Zaragoza was arrested and is awaiting trial."
168,445,2019-07-09,Cleveland,Cuyahoga County,OH,1,4,0,Shooting,Smoke inhalation & burns,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,39035198900.0,-81.645222,41.521976,"On July 8, 2019, Armond Johnson allegedly shot and killed his former girlfriend inside her residence before setting the house on fire (killing their 6-year-old son and her 2-year-old daughter) and then fleeing the scene. According to the police, Johnson returned to the crime scene early the following morning and shot and killed a neighbor in a vacant field adjacent to his residence. Johnson was convicted and sentenced to four consecutive life terms."
169,391,2019-07-06,North St. Louis County,St. Louis County,MO,2,5,0,Shooting,,False,False,Felony,Drug trade,Residence/Other shelter,Residence,29189210600.0,-90.23649,38.75057," Five victims were shot to death in what the police say related to drug activity.  Terrance Wesley pleaded guilty and received a life sentence. In 2023, Anthony Watkins was acquitted on all charges."
171,389,2019-06-23,San Jose,Santa Clara County,CA,1,4,0,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,6085503222.0,-121.842494,37.300941,"Using a stolen handgun, Chi Dinh Ta allegedly killed his wife's relatives who she had recently arranged to have immigrate from Vietnam. He then committed suicide."
172,388,2019-06-21,Santa Maria,Santa Barbara County,CA,1,4,0,Shooting,Smoke inhalation & burns,False,False,Other,Interpersonal conflict,Multiple,Multiple,6083002308.0,-120.43983,34.975042," Stemming from an ongoing dispute and apparently precipitated by his recent eviction from his mobile home, Claude Adams, 64, fatally shot two men at the park’s clubhouse area, police said. Adams then killed his wife and son and set fire to the mobile home before taking his own life."
173,390,2019-06-08,White Swan,Yakima County,WA,2,5,2,Shooting,,False,False,Felony,Drug trade,Residence/Other shelter,Residence,53077940003.0,-120.823037,46.422692,"James and Donovan Cloud (with the possible assistance of two others) fatally shot four victims at a residence in the Yakima Indian Reservation. They then stole a car from there and shot additional victims, killing one, inside a nearby vehicle. The murders appear to be drug related. James Cloud was convicted and Donovan Cloud pleaded guilty. James receive a life sentence and Donovan received a 327-month sentence."
174,386,2019-05-31,Virginia Beach,Virginia Beach city,VA,1,12,5,Shooting,,False,False,Public,Employment grievance,Government/Transit,Government/Transit,51810045433.0,-76.061879,36.755464,"DeWayne Craddock, a 15-year employee with no criminal history, submitted his two weeks’ notice to the Virginia Beach Municipal Government citing ""personal reasons."" According to the authorities, he then went on a rampage at work a few hours later, killing 12 and injuring five. Craddock was killed by the responding police."
175,385,2019-05-13,St. Louis,St. Louis city,MO,1,4,1,Shooting,,False,False,Unsolved,Drug trade,Residence/Other shelter,Residence,29510126900.0,-90.243408,38.677395,"Four related men were shot and killed inside an injured victim's home. The police believe the incident was related to drugs, as drugs and weapons were found in the home. The case remains unsolved. "
176,383,2019-04-28,West Chester,Butler County,OH,1,4,0,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,39017011122.0,-84.467469,39.350813,"Gurpreet Singh called 911 to report that four members of his well-respected Sikh family were found shot dead in their home. Two months later he was arrested for the murder of his wife and three other relatives. The couple's three children were not at home at the time. The jury in Singh's trial could not reach a unanimous verdict, resulting in a mistrial. However, the prosecutor has vowed to retry the case. "
178,570,2019-04-11,Phoenix,Maricopa County,AZ,1,4,2,Shooting,Other,False,False,Family,Family issue,Residence/Other shelter,Residence,4013109604.0,-112.21195,33.50392,"Believing that he had permission from God, Austin Smith killed his wife (whom he suspected of infidelity), and two of his daughters. He then drove to his brother's home seeking out the man he suspected was involved with his wife. There he killed one person and injured two others who were trying to intervene. In exchange for a plea deal, Smith received a life sentence."
180,399,2019-04-01,Mandan,Morton County,ND,1,4,0,Shooting,Stabbing,False,False,Public,Undetermined,Commercial/Retail/Entertainment,Commercial/Retail,38059020301.0,-100.847931,46.814722,"Chad Isaak, a veteran and chiropractor, went to the company that managed his mobile home park and shot and stabbed four employees there. It remains unclear if he had any relationship with the victims or what the precise motive was. Isaak was convicted and sentenced to life in prison."
184,375,2019-02-16,Clinton,Hinds County,MS,1,4,0,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,28049010304.0,-90.319447,32.352555,"Nam Le owned a nail salon with his wife, and several family members worked there. He shot and killed his wife, sister-in-law, sister-in-law's fiancé, and a family friend/babysitter in his home during a 12-hour standoff with police. Several hours into the standoff, he released his two children (ages 4 and 5) unharmed to the police. He was shot by a sniper and later died at the hospital. "
185,376,2019-02-15,Aurora,Kane County,IL,1,5,6,Shooting,,False,False,Public,Employment grievance,Commercial/Retail/Entertainment,Commercial/Retail,17089854700.0,-88.332726,41.756376,"Gary Martin had a long history of domestic violence, and had been in prison for stabbing an ex-girlfriend in 1995. He was able to apply successfully for an Illinois FOID (Firearm Owners Identification) card due to the lack of fingerprinting, but failed to secure a concealed carry permit. He was then sent a letter indicating that he had to give up his guns and FOID card. It remains unclear if the authorities ever followed up on his illegal gun ownership. After working at Henry Pratt company for 15 years, Martin went to a meeting where he was told he was being fired. During the meeting, he shot his boss and co-workers, and hid in the 29,000 sq. ft. factory until police found him and killed him in an exchange of gunfire. "
186,377,2019-02-11,Livingston,Polk County,TX,1,4,0,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,48373210205.0,-95.056404,30.725478,"Randy Horn, an amateur boxer and poker enthusiast, allegedly killed his wife (27 years his junior), their child, and her two grandparents after posting an ominous message on Facebook. Horn took his own life."
